geoid,market_share,school_age_kids_in_tract,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_owner_occupied,percent_renter_occupied
37119006216,47,328,51,1564,2995,82,18
37119006217,57,626,67,1197,2269,68,32
37119006218,36,671,90,NA,3041,96,4
37119006219,19,557,89,NA,3122,99,1
37119006220,24,392,38,1495,2096,83,17
37119006221,72,830,92,1912,1643,88,12
37119006222,38,1105,98,784,1740,92,8
37119006223,50,806,83,1844,1553,81,19
37119006224,97,769,42,1427,1295,43,57
37119006305,17,1133,91,NA,2103,93,7
37119006306,62,235,98,NA,1605,93,7
37119006307,37,1283,65,1449,1938,72,28
37119006308,63,1182,67,1650,1916,59,41
37119006309,78,577,49,1066,1144,53,47
37119006310,78,774,91,NA,1707,73,27
37119006311,62,1089,100,2237,2112,95,5
37119006403,35,710,64,1255,2189,74,26
37119006404,60,2011,89,1679,2370,99,1
37119006407,46,1050,85,1680,1651,68,32
37119006408,47,452,30,1310,1760,35,65
37119006409,49,578,59,1221,2120,72,28
37119006410,79,847,78,1709,1413,76,24
37119006411,50,925,73,1146,1393,69,31
37119980100,62,0,NA,NA,NA,NA,NA
37119980200,62,0,NA,NA,NA,NA,NA
37119980300,8,0,0,NA,NA,100,0
