"school_name","sum_AIAN","sum_Asian","sum_BlackAA","sum_Hispanic","sum_MultiRacial","sum_NHPI","sum_Other","sum_totpop","sum_white_notHL","AIAN_prop","Asian_prop","Black_prop","Hispanic_prop","MultiRacial_prop","NHPI_prop","Other_prop","White_prop","PoC_prop","sum_rentHH","sum_ownHH","rent_prop","own_prop","mean_HHInc","sum_PopPov","sum_pov","pov_rate","school_type"
"Leschi",5,4546,4200,3366,2565,12,117,32459,17648,0.000154040481838627,0.14005360608768,0.129394004744447,0.103700052373764,0.0790227671832158,0.000369697156412705,0.00360454727502388,0.543701284697619,0.456298715302381,6542,7685,0.459829900892669,0.540170099107331,137776.431128501,32146,7217,0.224506937099484,"es"
"Lowell",707,34326,6804,9339,9104,387,753,129104,67684,0.00547620522989218,0.265878671458669,0.0527016978559921,0.0723370306109803,0.0705167926632792,0.00299758334366092,0.00583250712603792,0.524259511711488,0.475740488288512,66230,15683,0.808540768864527,0.191459231135473,123591.012981782,125341,26076,0.208040465609816,"es"
"Loyal Heights",72,4578,744,3036,4053,122,173,49634,36856,0.00145061852762219,0.0922351613813112,0.0149897247854293,0.0611677479147359,0.0816577346173994,0.00245799250513761,0.00348551396220333,0.742555506306161,0.257444493693839,9055,13185,0.40714928057554,0.59285071942446,160368.872607487,49433,4477,0.0905670301215787,"es"
"MLK Jr.",73,7884,5622,3206,2209,72,126,29934,10742,0.00243869846996726,0.263379434756464,0.187813189015835,0.107102291708425,0.0737956838377764,0.00240529164161155,0.0042092603728202,0.3588561501971,0.6411438498029,4360,6560,0.399267399267399,0.600732600732601,114442.641678359,29465,6405,0.21737654844731,"es"
"Madrona",64,5820,3662,3064,3044,16,113,41213,25430,0.00155290806298983,0.141217576978138,0.0888554582291995,0.0743454735156383,0.0738601897459539,0.000388227015747458,0.00274185329871642,0.617038313153617,0.382961686846383,12308,7815,0.61163842369428,0.38836157630572,137010.946570257,39430,7548,0.191427846817144,"es"
"Magnolia",38,3789,763,1831,1747,49,180,28473,20076,0.00133459768903874,0.133073437993889,0.0267973167562252,0.0643065360165771,0.0613563727039652,0.00172092859902364,0.0063217785270256,0.705089031714256,0.294910968285744,6922,6899,0.500832067144201,0.499167932855799,168791.770414076,28337,3114,0.109891661079154,"es"
"Maple",195,8065,3301,1928,1536,180,60,21838,6573,0.00892938913819947,0.369310376408096,0.151158531001007,0.0882864731202491,0.0703361113655097,0.00824251305064566,0.00274750435021522,0.300989101566077,0.699010898433923,3913,4479,0.466277407054337,0.533722592945662,96894.2707665537,21548,6345,0.294458882494895,"es"
"McGilvra",37,2418,1540,1277,2332,0,86,29715,22025,0.00124516237590443,0.0813730439172135,0.0518256772673734,0.042974928487296,0.0784788827191654,0,0.00289416119804812,0.741208144034999,0.258791855965001,4458,8409,0.346467708090464,0.653532291909536,189641.390173313,29478,3181,0.107910984462989,"es"
"Montlake",62,2403,488,1211,1666,48,110,25068,19080,0.00247327269826073,0.0958592628051699,0.0194670496250199,0.0483086006063507,0.0664592308919738,0.0019147917663954,0.00438806446465614,0.761129727142173,0.238870272857827,6482,6259,0.508751275410093,0.491248724589907,174604.926120951,24957,2879,0.115358416476339,"es"
"North Beach",53,2972,510,1820,3055,28,128,34957,26391,0.00151614841090483,0.0850187373058329,0.0145893526332351,0.0520639642989959,0.0873930829304574,0.000800984066138399,0.00366164144520411,0.754956088909231,0.245043911090769,4191,10143,0.292381749686061,0.707618250313939,176473.708813685,34742,3050,0.0877899948189511,"es"
