GEOID,NAME,RentHH,CBrent
53033028801,Census Tract 288.01; King County; Washington,616,385
53033028802,Census Tract 288.02; King County; Washington,1825,1399
53033028901,Census Tract 289.01; King County; Washington,822,498
53033028902,Census Tract 289.02; King County; Washington,1815,1216
53033029001,Census Tract 290.01; King County; Washington,543,235
53033029003,Census Tract 290.03; King County; Washington,908,655
53033029004,Census Tract 290.04; King County; Washington,728,441
53033029101,Census Tract 291.01; King County; Washington,461,296
53033029102,Census Tract 291.02; King County; Washington,510,229
53033029203,Census Tract 292.03; King County; Washington,998,511
53033029205,Census Tract 292.05; King County; Washington,776,498
53033029206,Census Tract 292.06; King County; Washington,1829,1312
53033029207,Census Tract 292.07; King County; Washington,64,47
53033029208,Census Tract 292.08; King County; Washington,1402,695
53033029304,Census Tract 293.04; King County; Washington,504,155
53033029305,Census Tract 293.05; King County; Washington,224,83
53033029306,Census Tract 293.06; King County; Washington,256,126
53033029307,Census Tract 293.07; King County; Washington,171,82
53033029308,Census Tract 293.08; King County; Washington,456,333
53033029309,Census Tract 293.09; King County; Washington,904,563
53033029403,Census Tract 294.03; King County; Washington,730,181
53033029405,Census Tract 294.05; King County; Washington,167,99
53033029406,Census Tract 294.06; King County; Washington,221,106
53033029407,Census Tract 294.07; King County; Washington,892,580
53033029408,Census Tract 294.08; King County; Washington,953,459
53033029504,Census Tract 295.04; King County; Washington,1456,723
53033029505,Census Tract 295.05; King County; Washington,1003,666
53033029506,Census Tract 295.06; King County; Washington,1470,787
53033029507,Census Tract 295.07; King County; Washington,131,43
53033029508,Census Tract 295.08; King County; Washington,236,20
53033029602,Census Tract 296.02; King County; Washington,80,51
53033029603,Census Tract 296.03; King County; Washington,458,166
53033029604,Census Tract 296.04; King County; Washington,396,82
53033029701,Census Tract 297.01; King County; Washington,1122,702
53033029702,Census Tract 297.02; King County; Washington,427,181
53033029803,Census Tract 298.03; King County; Washington,1608,603
53033029804,Census Tract 298.04; King County; Washington,388,157
53033029805,Census Tract 298.05; King County; Washington,248,29
53033029806,Census Tract 298.06; King County; Washington,658,206
53033029901,Census Tract 299.01; King County; Washington,386,154
53033029902,Census Tract 299.02; King County; Washington,175,9
53033030003,Census Tract 300.03; King County; Washington,888,538
53033030005,Census Tract 300.05; King County; Washington,531,230
53033030006,Census Tract 300.06; King County; Washington,1313,817
53033030007,Census Tract 300.07; King County; Washington,1250,839
53033030008,Census Tract 300.08; King County; Washington,921,619
53033030101,Census Tract 301.01; King County; Washington,533,283
53033030102,Census Tract 301.02; King County; Washington,166,62
53033030201,Census Tract 302.01; King County; Washington,585,340
53033030203,Census Tract 302.03; King County; Washington,1048,617
53033030204,Census Tract 302.04; King County; Washington,477,254
53033030304,Census Tract 303.04; King County; Washington,618,361
53033030305,Census Tract 303.05; King County; Washington,523,115
53033030306,Census Tract 303.06; King County; Washington,312,61
53033030308,Census Tract 303.08; King County; Washington,1158,796
53033030309,Census Tract 303.09; King County; Washington,1591,816
53033030310,Census Tract 303.10; King County; Washington,827,326
53033030311,Census Tract 303.11; King County; Washington,394,142
53033030312,Census Tract 303.12; King County; Washington,934,630
53033030313,Census Tract 303.13; King County; Washington,1142,801
53033030314,Census Tract 303.14; King County; Washington,1179,747
53033030403,Census Tract 304.03; King County; Washington,348,181
53033030404,Census Tract 304.04; King County; Washington,283,113
53033030405,Census Tract 304.05; King County; Washington,187,104
53033030406,Census Tract 304.06; King County; Washington,391,196
53033030407,Census Tract 304.07; King County; Washington,429,234
53033030501,Census Tract 305.01; King County; Washington,1432,1018
53033030503,Census Tract 305.03; King County; Washington,1256,665
53033030504,Census Tract 305.04; King County; Washington,1103,532
53033030600,Census Tract 306; King County; Washington,747,346
53033030700,Census Tract 307; King County; Washington,880,578
53033030801,Census Tract 308.01; King County; Washington,1081,462
